iter	Passed	Remaining
408	5342	1188
409	5354	1175
410	5366	1162
411	5379	1148
412	5401	1137
413	5412	1124
414	5423	1110
415	5435	1097
416	5446	1084
417	5459	1071
418	5472	1057
419	5485	1044
420	5498	1031
421	5513	1019
422	5524	1005
423	5536	992
424	5549	979
425	5563	966
426	5580	954
427	5593	940
428	5606	927
429	5619	914
430	5633	901
431	5650	889
432	5661	876
433	5674	862
434	5687	849
435	5698	836
436	5715	824
437	5728	810
438	5740	797
439	5752	784
440	5765	771
441	5777	758
442	5839	751
443	5894	743
444	5920	731
445	5934	718
446	5948	705
447	5961	691
448	5974	678
449	5984	664
450	5995	651
451	6007	637
452	6021	624
453	6031	611
454	6043	597
455	6056	584
456	6069	571
457	6082	557
458	6094	544
459	6106	530
460	6121	517
461	6132	504
462	6144	491
463	6156	477
464	6169	464
465	6182	451
466	6194	437
467	6204	424
468	6216	410
469	6228	397
470	6240	384
471	6251	370
472	6263	357
473	6273	344
474	6288	330
475	6302	317
476	6314	304
477	6327	291
478	6338	277
479	6350	264
480	6363	251
481	6375	238
482	6388	224
483	6399	211
484	6411	198
485	6422	185
486	6433	171
487	6446	158
488	6476	145
489	6489	132
490	6505	119
491	6538	106
492	6589	93
493	6621	80
494	6661	67
495	6708	54
496	6734	40
497	6759	27
498	6796	13
499	6827	0
